Timestamp,Event,Object_ID
2026-03-25 13:21:39.981,Object_Spawned,ColorT:0.91|Height:1.77|Smooth:0.08
2026-03-25 13:21:39.981,Object_Spawned,ColorT:0.64|Height:0.98|Smooth:0.61
2026-03-25 13:21:39.981,Object_Spawned,ColorT:0.58|Height:0.64|Smooth:0.56
2026-03-25 13:21:39.981,Object_Spawned,ColorT:0.64|Height:1.33|Smooth:0.57
2026-03-25 13:21:39.981,Object_Spawned,ColorT:0.58|Height:1.43|Smooth:0.84
2026-03-25 13:21:39.981,Object_Spawned,ColorT:0.41|Height:1.73|Smooth:0.88
2026-03-25 13:21:39.981,Object_Spawned,ColorT:0.61|Height:1.98|Smooth:0.26
2026-03-25 13:21:39.981,Object_Spawned,ColorT:0.64|Height:0.88|Smooth:0.01
2026-03-25 13:21:39.982,Object_Spawned,ColorT:0.93|Height:1.78|Smooth:0.18
2026-03-25 13:21:39.982,Object_Spawned,ColorT:0.15|Height:1.57|Smooth:0.26
2026-03-25 13:21:39.982,Object_Spawned,ColorT:0.75|Height:0.59|Smooth:0.57
2026-03-25 13:21:39.982,Object_Spawned,ColorT:0.71|Height:2.18|Smooth:0.07
2026-03-25 13:21:39.982,Object_Spawned,ColorT:0.69|Height:1.74|Smooth:0.88
2026-03-25 13:21:39.982,Object_Spawned,ColorT:0.65|Height:2.43|Smooth:0.28
2026-03-25 13:21:39.982,Object_Spawned,ColorT:0.33|Height:0.56|Smooth:0.95
2026-03-25 13:21:39.982,Object_Spawned,ColorT:0.80|Height:1.60|Smooth:0.73
2026-03-25 13:21:39.982,Object_Spawned,ColorT:0.96|Height:1.00|Smooth:0.70
2026-03-25 13:21:39.982,Object_Spawned,ColorT:0.16|Height:0.74|Smooth:0.64
2026-03-25 13:21:39.982,Object_Spawned,ColorT:0.25|Height:1.75|Smooth:0.51
2026-03-25 13:21:39.982,Object_Spawned,ColorT:0.38|Height:1.14|Smooth:0.59
2026-03-25 13:21:39.983,Object_Spawned,ColorT:0.58|Height:0.66|Smooth:0.67
2026-03-25 13:21:39.983,Object_Spawned,ColorT:0.59|Height:2.27|Smooth:0.74
2026-03-25 13:21:39.983,Object_Spawned,ColorT:0.95|Height:1.15|Smooth:0.93
2026-03-25 13:21:39.983,Object_Spawned,ColorT:0.19|Height:2.50|Smooth:0.62
2026-03-25 13:21:39.983,Object_Spawned,ColorT:0.60|Height:0.85|Smooth:0.13
2026-03-25 13:21:39.983,Object_Spawned,ColorT:0.49|Height:0.83|Smooth:0.57
2026-03-25 13:21:39.983,Object_Spawned,ColorT:0.23|Height:2.08|Smooth:0.78
2026-03-25 13:21:39.983,Object_Spawned,ColorT:0.59|Height:1.78|Smooth:0.34
2026-03-25 13:21:39.983,Object_Spawned,ColorT:0.97|Height:1.23|Smooth:0.11
2026-03-25 13:21:39.983,Object_Spawned,ColorT:0.19|Height:2.42|Smooth:0.19
2026-03-25 13:21:39.983,Object_Spawned,ColorT:0.95|Height:1.56|Smooth:0.50
2026-03-25 13:21:39.983,Object_Spawned,ColorT:0.99|Height:1.49|Smooth:0.41
2026-03-25 13:21:39.983,Object_Spawned,ColorT:0.05|Height:2.01|Smooth:0.12
2026-03-25 13:21:39.984,Object_Spawned,ColorT:0.53|Height:1.57|Smooth:0.81
2026-03-25 13:21:39.984,Object_Spawned,ColorT:0.89|Height:0.87|Smooth:0.98
2026-03-25 13:21:39.984,Object_Spawned,ColorT:0.26|Height:2.01|Smooth:0.36
2026-03-25 13:21:39.984,Object_Spawned,ColorT:0.91|Height:1.10|Smooth:0.41
2026-03-25 13:21:39.984,Object_Spawned,ColorT:0.55|Height:2.23|Smooth:0.42
2026-03-25 13:21:39.984,Object_Spawned,ColorT:0.98|Height:1.96|Smooth:0.59
2026-03-25 13:21:39.984,Object_Spawned,ColorT:1.00|Height:2.19|Smooth:0.06
2026-03-25 13:21:39.984,Object_Spawned,ColorT:0.42|Height:1.99|Smooth:0.23
2026-03-25 13:21:39.984,Object_Spawned,ColorT:0.75|Height:1.42|Smooth:0.65
2026-03-25 13:21:39.984,Object_Spawned,ColorT:0.37|Height:1.89|Smooth:0.77
2026-03-25 13:21:39.984,Object_Spawned,ColorT:0.47|Height:0.69|Smooth:0.33
2026-03-25 13:21:39.984,Object_Spawned,ColorT:0.27|Height:1.65|Smooth:0.03
2026-03-25 13:21:39.984,Object_Spawned,ColorT:0.57|Height:2.29|Smooth:0.00
2026-03-25 13:21:39.985,Object_Spawned,ColorT:0.09|Height:1.11|Smooth:0.98
2026-03-25 13:21:39.985,Object_Spawned,ColorT:0.34|Height:2.43|Smooth:0.52
2026-03-25 13:21:43.350,Target_Collected,ColorT:1.00|Height:2.19|Smooth:0.06
2026-03-25 13:21:43.830,Target_Collected,ColorT:0.05|Height:2.01|Smooth:0.12
2026-03-25 13:21:45.330,Target_Collected,ColorT:0.64|Height:0.98|Smooth:0.61
2026-03-25 13:21:45.830,Target_Collected,ColorT:0.57|Height:2.29|Smooth:0.00
2026-03-25 13:21:46.770,Target_Collected,ColorT:0.49|Height:0.83|Smooth:0.57
2026-03-25 13:21:49.490,Target_Collected,Red_Berry
2026-03-25 13:21:51.011,Target_Collected,ColorT:0.80|Height:1.60|Smooth:0.73
2026-03-25 13:25:23.595,Object_Spawned,T:0.65|H:1.80|W:0.96|Col:FFFFFF
2026-03-25 13:25:23.602,Object_Spawned,T:0.11|H:0.72|W:1.82|Col:FFFFFF
2026-03-25 13:25:23.603,Object_Spawned,T:0.79|H:2.08|W:0.74|Col:FFFFFF
2026-03-25 13:25:23.603,Object_Spawned,T:0.88|H:2.27|W:0.59|Col:FFFFFF
2026-03-25 13:25:23.603,Object_Spawned,T:0.84|H:2.18|W:0.65|Col:FFFFFF
2026-03-25 13:25:23.603,Object_Spawned,T:0.81|H:2.12|W:0.71|Col:FFFFFF
2026-03-25 13:25:23.603,Object_Spawned,T:0.22|H:0.94|W:1.65|Col:FFFFFF
2026-03-25 13:25:23.603,Object_Spawned,T:0.73|H:1.96|W:0.83|Col:FFFFFF
2026-03-25 13:25:23.603,Object_Spawned,T:0.70|H:1.90|W:0.88|Col:FFFFFF
2026-03-25 13:25:23.604,Object_Spawned,T:0.56|H:1.62|W:1.11|Col:FFFFFF
2026-03-25 13:25:23.604,Object_Spawned,T:0.85|H:2.20|W:0.64|Col:FFFFFF
2026-03-25 13:25:23.604,Object_Spawned,T:0.48|H:1.47|W:1.23|Col:FFFFFF
2026-03-25 13:25:23.604,Object_Spawned,T:0.64|H:1.79|W:0.97|Col:FFFFFF
2026-03-25 13:25:23.604,Object_Spawned,T:0.20|H:0.89|W:1.69|Col:FFFFFF
2026-03-25 13:25:23.604,Object_Spawned,T:0.79|H:2.08|W:0.74|Col:FFFFFF
2026-03-25 13:25:23.604,Object_Spawned,T:0.90|H:2.30|W:0.56|Col:FFFFFF
